2022-04-10 00:00:00,36,MOLLEJAS CORDERO,3.0
2022-04-14 00:00:00,36,MOLLEJAS CORDERO,2.0
2022-04-15 00:00:00,36,MOLLEJAS CORDERO,2.0
2022-04-16 00:00:00,36,MOLLEJAS CORDERO,4.0
2022-04-17 00:00:00,36,MOLLEJAS CORDERO,2.0
2022-04-18 00:00:00,36,MOLLEJAS CORDERO,2.0
2022-04-21 00:00:00,36,MOLLEJAS CORDERO,2.0
2022-04-22 00:00:00,36,MOLLEJAS CORDERO,2.0
2022-04-23 00:00:00,36,MOLLEJAS CORDERO,4.0
2022-04-29 00:00:00,36,MOLLEJAS CORDERO,1.0
2022-04-30 00:00:00,36,MOLLEJAS CORDERO,6.0
2022-05-01 00:00:00,36,MOLLEJAS CORDERO,8.0
2022-05-04 00:00:00,36,MOLLEJAS CORDERO,1.0
2022-05-05 00:00:00,36,MOLLEJAS CORDERO,1.0
2022-05-06 00:00:00,36,MOLLEJAS CORDERO,2.0
2022-05-08 00:00:00,36,MOLLEJAS CORDERO,1.0
2022-05-10 00:00:00,36,MOLLEJAS CORDERO,3.0
2022-05-11 00:00:00,36,MOLLEJAS CORDERO,1.0
2022-05-14 00:00:00,36,MOLLEJAS CORDERO,1.0
2022-05-15 00:00:00,36,MOLLEJAS CORDERO,2.0
2022-05-18 00:00:00,36,MOLLEJAS CORDERO,1.0
2022-05-20 00:00:00,36,MOLLEJAS CORDERO,2.0
2022-05-21 00:00:00,36,MOLLEJAS CORDERO,3.0
2022-05-22 00:00:00,36,MOLLEJAS CORDERO,2.0
2022-05-26 00:00:00,36,MOLLEJAS CORDERO,1.0
2022-05-27 00:00:00,36,MOLLEJAS CORDERO,1.0
2022-05-28 00:00:00,36,MOLLEJAS CORDERO,2.0
2022-06-01 00:00:00,36,MOLLEJAS CORDERO,1.0
2022-06-02 00:00:00,36,MOLLEJAS CORDERO,1.0
2022-06-04 00:00:00,36,MOLLEJAS CORDERO,2.0
2022-06-10 00:00:00,36,MOLLEJAS CORDERO,3.0
2022-06-11 00:00:00,36,MOLLEJAS CORDERO,4.0
2022-06-12 00:00:00,36,MOLLEJAS CORDERO,2.0
2022-06-17 00:00:00,36,MOLLEJAS CORDERO,2.0
2022-06-19 00:00:00,36,MOLLEJAS CORDERO,2.0
2022-06-21 00:00:00,36,MOLLEJAS CORDERO,2.0
2022-06-23 00:00:00,36,MOLLEJAS CORDERO,1.0
2022-06-24 00:00:00,36,MOLLEJAS CORDERO,1.0
2022-06-25 00:00:00,36,MOLLEJAS CORDERO,1.0
2022-06-27 00:00:00,36,MOLLEJAS CORDERO,2.0
2022-07-01 00:00:00,36,MOLLEJAS CORDERO,2.0
2022-07-02 00:00:00,36,MOLLEJAS CORDERO,5.0
2022-07-06 00:00:00,36,MOLLEJAS CORDERO,1.0
2022-07-07 00:00:00,36,MOLLEJAS CORDERO,1.0
2022-07-09 00:00:00,36,MOLLEJAS CORDERO,3.0
2022-07-13 00:00:00,36,MOLLEJAS CORDERO,1.0
2022-07-14 00:00:00,36,MOLLEJAS CORDERO,2.0
2022-07-15 00:00:00,36,MOLLEJAS CORDERO,4.0
